33,92460,765.64,0.02,-0.03,1.16
33,92460,765.64,0.02,-0.04,1.15
33,92458,765.82,0.01,-0.03,1.16
33,92458,765.82,0.01,-0.03,1.16
33,92458,765.82,0.02,-0.04,1.16
34,92457,765.89,0.01,-0.03,1.15
34,92457,765.89,0.02,-0.04,1.17
34,92457,765.89,0.01,-0.03,1.16
34,92457,765.90,0.02,-0.03,1.16
34,92457,765.90,0.02,-0.04,1.17
34,92457,765.94,0.01,-0.03,1.15
34,92457,765.94,0.02,-0.04,1.16
34,92457,765.94,0.01,-0.04,1.17
34,92458,765.84,0.01,-0.03,1.15
34,92458,765.84,0.02,-0.03,1.17
34,92457,765.90,0.02,-0.03,1.17
34,92457,765.90,0.01,-0.04,1.17
34,92456,766.00,0.02,-0.04,1.18
34,92456,766.00,0.01,-0.03,1.15
34,92456,766.00,0.01,-0.04,1.17
34,92456,766.04,0.02,-0.03,1.17
34,92456,766.04,0.01,-0.03,1.16
34,92455,766.08,0.02,-0.04,1.17
34,92455,766.08,0.01,-0.03,1.17
34,92455,766.08,0.02,-0.03,1.16
34,92456,765.99,0.01,-0.03,1.17
34,92456,765.99,0.02,-0.03,1.15
34,92455,766.05,0.02,-0.04,1.16
34,92455,766.05,0.01,-0.04,1.17
34,92456,766.04,0.02,-0.03,1.15
34,92456,766.04,0.02,-0.04,1.17
34,92456,766.04,0.01,-0.03,1.15
34,92455,766.06,0.01,-0.04,1.17
34,92455,766.06,0.01,-0.04,1.17
34,92454,766.22,0.01,-0.03,1.16
34,92454,766.22,0.02,-0.04,1.16
34,92454,766.22,0.01,-0.03,1.17
34,92455,766.09,0.02,-0.04,1.16
34,92455,766.09,0.02,-0.04,1.17
34,92454,766.15,0.01,-0.03,1.15
34,92454,766.15,0.01,-0.03,1.16
34,92454,766.17,0.01,-0.03,1.17
34,92454,766.17,0.02,-0.03,1.16
34,92454,766.17,0.02,-0.04,1.16
34,92455,766.13,0.02,-0.04,1.16
34,92455,766.13,0.01,-0.04,1.16
34,92453,766.31,0.02,-0.04,1.16
34,92453,766.31,0.02,-0.03,1.18
